gameId,gameDuration,team,champion,wins,kills,deaths,assists,longestTimeSpentLiving,largestKillingSpree,largestMultiKill,killingSprees,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageDealtToTurrets,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,turretKills,inhibitorKills
4515358388,1382,red,Udyr,True,12,9,15,330,4,2,2,1,0,0,0,0,32953,3476,27609,1867,0,17853,1861,14281,1710,6540,3400,32,34184,18133,14663,1387,14599,13533,18,2,0
4515354402,1455,red,Yuumi,False,1,3,26,844,0,1,0,0,0,0,0,0,34986,34756,229,0,0,20238,20238,0,0,18555,0,31,7725,2018,5669,38,11950,10585,13,0,0
4515302468,726,blue,MasterYi,False,9,7,6,143,3,3,2,1,1,0,0,0,29522,5686,21986,1849,474,11842,1421,9129,1290,2865,161,0,12306,9063,2461,780,8899,7820,26,0,0
4515209561,980,red,Shen,False,4,8,14,171,2,1,1,0,0,0,0,0,23098,14652,7190,1255,14,10632,4449,4926,1255,2038,0,38,22857,10242,11518,1097,9496,9200,18,0,0
4514067988,1097,red,Rakan,False,6,8,20,275,2,1,2,0,0,0,0,0,25120,19663,4061,1396,0,9867,7535,1025,1306,3938,57,42,19590,10099,8725,765,10639,8950,17,1,0
4513999730,1195,red,Kayle,False,12,11,20,233,3,2,4,3,0,0,0,0,93651,65866,26045,1739,0,27839,19522,6820,1495,15293,1777,10,33081,14199,17283,1597,14210,12370,83,0,0
4513927097,851,red,Graves,False,2,7,9,226,0,1,0,0,0,0,0,0,39072,1474,37042,555,220,9214,673,8085,455,2702,210,21,14053,4606,9323,123,7631,7200,38,0,0
4513850123,837,blue,Warwick,True,5,6,14,303,2,1,1,0,0,0,0,0,16342,8815,6469,1058,0,10162,6009,3275,878,7798,1721,23,26990,13382,13212,395,8344,6550,9,1,0
4513842742,1374,blue,Rakan,False,8,6,44,341,3,2,3,1,0,0,0,0,43018,32572,8653,1792,0,21806,16133,3950,1722,10306,588,101,26390,12579,10955,2856,13616,13250,20,0,0
4513649311,1032,red,Maokai,True,2,6,18,224,0,1,0,0,0,0,0,0,56681,50521,2226,3933,0,20351,18615,712,1023,7308,2137,68,20977,8442,9392,3141,9662,8150,36,1,0
4513672809,1168,blue,Shen,True,5,7,23,198,2,1,1,0,0,0,0,0,25933,11916,12066,1950,0,17059,6784,8530,1743,4882,560,44,30780,19722,6899,4158,10986,9200,8,0,0
4513507609,1306,red,Blitzcrank,False,8,13,19,150,3,2,1,1,0,0,0,0,24577,18682,4631,1264,0,17511,13334,2982,1194,4124,427,53,53523,38158,14601,764,12001,10870,10,0,0
4513473311,1295,red,Nunu,True,4,9,29,248,2,1,1,0,0,0,0,0,55535,25791,5254,24490,0,14028,11115,1572,1340,18084,1580,47,52991,16593,35729,668,12502,11350,32,1,0
4513395274,1016,red,Hecarim,False,4,13,11,156,2,1,1,0,0,0,0,0,21848,3595,17553,700,0,11171,1968,8672,530,4189,442,12,29790,11364,17691,734,9142,8083,7,1,0
4513312693,1099,red,Soraka,True,2,6,42,280,0,1,0,0,0,0,0,0,11190,9468,1299,421,0,7867,7117,327,421,23480,309,59,12438,7673,3733,1031,10676,10212,7,1,0
4513217245,1169,red,Urgot,True,5,11,15,138,2,2,2,1,0,0,0,0,61222,1471,58141,1609,0,17493,461,15567,1464,3291,1322,17,28660,14154,10595,3910,11174,9450,46,1,0
4511951892,1669,blue,Sona,False,6,15,32,260,2,1,1,0,0,0,0,0,50305,46249,1966,2089,0,33976,30281,1605,2089,15340,244,32,36074,18443,16087,1543,14317,13150,15,0,0
4511902055,1585,blue,Urgot,True,10,15,30,188,3,3,3,2,1,0,0,0,85624,0,82128,3495,0,30861,0,27526,3335,7049,1104,34,44560,15279,23631,5649,15585,14300,48,2,1
4508986360,1129,red,MasterYi,True,7,11,16,137,0,1,0,0,0,0,0,0,47266,2832,39756,4677,510,19921,1091,14597,4232,5936,2794,0,25045,5596,18706,743,11218,10675,30,3,0
4508215259,1302,red,Lulu,False,1,6,24,329,0,1,0,0,0,0,0,0,6491,5047,1203,241,0,2015,1412,362,241,606,0,17,10838,4246,6441,150,10322,7950,6,0,0
4507910964,1255,red,Akali,True,17,13,14,190,5,3,2,1,1,0,0,0,60000,40893,15790,3316,0,26353,13963,9628,2761,9457,2472,1,33602,10721,20925,1956,14335,12135,20,2,1
4507601161,1254,red,Urgot,False,14,15,14,112,3,1,4,0,0,0,0,0,121630,372,119050,2207,0,32388,142,30228,2017,7690,1676,27,43968,25565,14708,3693,14902,14300,83,1,0
4507367660,909,red,Kayn,False,3,9,5,175,0,1,0,0,0,0,0,0,22084,0,21594,490,0,3526,0,3116,410,3165,0,5,22984,13533,9037,413,8337,8850,28,0,0
4507383442,866,red,Yuumi,False,2,3,16,636,0,1,0,0,0,0,0,0,11871,11537,334,0,0,7957,7755,202,0,6640,0,15,5310,755,4484,69,7774,7050,4,0,0
4507119409,996,blue,Pyke,False,10,10,9,141,3,2,2,1,0,0,0,0,25403,0,22160,3242,0,15202,0,12180,3022,3997,184,31,20082,8877,10613,590,11638,11150,16,0,0
4507171728,1297,blue,KogMaw,False,8,8,27,514,3,2,3,2,0,0,0,0,116229,39598,55343,21288,331,35290,15160,16841,3288,8280,335,14,28014,8540,18028,1446,13789,12800,80,0,0
4506966954,956,blue,Warwick,True,5,6,28,255,2,2,2,1,0,0,0,0,34009,16222,16427,1360,0,15101,10154,3656,1290,15908,1323,34,38452,13754,23185,1512,10302,8500,24,1,0
4506879836,1263,blue,Rakan,True,0,6,24,283,0,0,0,0,0,0,0,0,15309,9382,4897,1029,0,7111,4542,1539,1029,5664,947,42,20795,3299,16017,1479,10238,10000,8,0,0
4506834588,1051,blue,Ezreal,False,3,8,11,223,2,1,1,0,0,0,0,0,40881,10822,28254,1805,0,18152,8456,9696,0,2136,399,0,17004,7073,9511,419,9248,8083,25,0,0
4506823758,1402,red,DrMundo,True,12,11,32,217,3,2,4,1,0,0,0,0,95738,71925,22062,1749,30,50871,34493,14798,1579,13273,2194,27,66521,17348,46758,2414,15007,11450,41,0,1
4506698953,1098,blue,MasterYi,True,18,15,16,132,3,3,5,5,2,0,0,0,38270,4619,29986,3664,544,21045,2184,15747,3112,3645,1545,0,25140,13572,11173,394,12404,11250,21,1,0
4506701067,1338,red,Warwick,False,8,10,9,244,2,2,2,1,0,0,0,0,25994,15817,8967,1210,0,9767,6868,1849,1050,13319,309,22,50507,20086,29469,951,12387,11100,22,0,0
4506537939,809,red,DrMundo,True,9,6,16,191,2,2,3,2,0,0,0,0,30104,16356,10553,3194,0,15321,8154,6418,749,3185,60,8,26351,9748,14883,1718,9892,8700,19,0,0
4505281833,1256,red,Karthus,True,14,11,27,173,3,3,5,1,1,0,0,0,102138,98642,518,2976,0,39453,35957,518,2976,11845,605,54,33474,7726,25117,631,14838,14700,79,0,0
4505250819,1242,red,Graves,True,7,12,28,142,0,1,0,0,0,0,0,0,55544,2025,52859,659,395,22875,1375,20840,659,2889,2560,31,23530,9870,9636,4023,13531,10775,47,2,3
4505216190,1790,red,Singed,True,4,14,28,296,2,1,1,0,0,0,0,0,45229,42290,1139,1799,0,17221,15303,594,1324,2941,538,76,50375,27397,22376,601,15221,13650,26,0,0
4505136607,876,red,MasterYi,True,7,7,8,280,2,2,3,2,0,0,0,0,21710,303,18905,2501,0,11915,303,9277,2334,2624,194,1,15549,5676,9045,827,8867,8400,10,0,0
